"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
4.0250,0.67,1.09,1.46
4.0375,0.59,1.07,1.37
4.0500,0.37,1.01,1.15
4.0625,0.11,0.90,0.95
4.0750,-0.05,0.62,0.62
4.0875,0.06,0.25,0.39
4.1000,0.28,0.51,0.45
4.1125,0.23,1.37,0.73
4.1250,-0.17,2.69,1.32
4.1375,-0.50,4.06,1.82
4.1500,-0.05,5.41,3.50
4.1625,0.48,7.67,5.55
4.1750,0.67,11.70,8.32
4.1875,-0.47,17.92,11.53
4.2000,-4.42,24.30,14.14
4.2125,-11.47,27.71,15.20
4.2250,-18.11,25.67,14.64
4.2375,-19.37,19.12,14.31
4.2500,-14.72,15.73,14.75
4.2625,-12.54,17.24,15.31
4.2750,-12.93,20.04,16.18
4.2875,-11.05,21.30,16.85
4.3000,-8.42,20.83,16.38
4.3125,-6.63,18.67,15.43
4.3250,-5.46,15.68,14.25
4.3375,-4.11,13.02,13.02
4.3500,-2.94,12.07,12.04
4.3625,-2.18,12.88,11.45
4.3750,-2.24,14.28,10.98
4.3875,-2.60,14.59,10.22
4.4000,-3.16,13.55,9.44
4.4125,-3.66,12.01,8.57
4.4250,-3.89,10.84,7.78
4.4375,-4.08,9.10,6.97
4.4500,-3.69,9.38,6.55
4.4625,-3.75,9.10,5.88
4.4750,-3.66,8.15,5.52
4.4875,-3.30,7.22,4.93
4.5000,-2.80,6.24,4.31
4.5125,-2.29,5.21,3.84
4.5250,-1.76,5.04,3.47
4.5375,-1.68,4.37,3.03
4.5500,-1.62,3.95,2.91
4.5625,-1.82,3.28,2.75
4.5750,-1.56,3.11,2.55
4.5875,-1.20,3.17,2.52
4.6000,-0.84,3.05,2.27
4.6125,-0.78,2.94,2.38
4.6250,-0.58,3.03,2.66
4.6375,-0.95,3.73,3.11
4.6500,-1.26,4.73,3.56
4.6625,-1.00,6.72,4.51
4.6750,-1.26,8.99,5.74
